index,Country Key,Country,Date,Precipitation,Temp Avg,Temp Max,Temp Min
391,10,Belgium,2/14/2020,,46.0,49.0,42.0
392,10,Belgium,2/15/2020,,50.0,54.0,
393,10,Belgium,2/16/2020,0.16,54.0,62.0,
394,10,Belgium,2/17/2020,0.28,47.0,51.0,
395,10,Belgium,2/18/2020,,44.0,48.0,41.0
396,10,Belgium,2/19/2020,,42.0,46.0,
379,10,Belgium,2/2/2020,0.2,49.0,55.0,
397,10,Belgium,2/20/2020,0.05,46.0,51.0,
398,10,Belgium,2/21/2020,,43.0,48.0,36.0
399,10,Belgium,2/22/2020,,46.0,,42.0
400,10,Belgium,2/23/2020,0.28,50.0,54.0,
401,10,Belgium,2/24/2020,,47.0,53.0,
402,10,Belgium,2/25/2020,0.09,44.0,,
403,10,Belgium,2/26/2020,0.35,37.0,41.0,33.0
404,10,Belgium,2/27/2020,0.36,35.0,,
405,10,Belgium,2/28/2020,0.13,39.0,,32.0
406,10,Belgium,2/29/2020,0.11,47.0,54.0,40.0
380,10,Belgium,2/3/2020,0.13,49.0,51.0,
381,10,Belgium,2/4/2020,0.43,42.0,,39.0
382,10,Belgium,2/5/2020,,41.0,47.0,35.0
383,10,Belgium,2/6/2020,,39.0,48.0,
384,10,Belgium,2/7/2020,,40.0,51.0,30.0
385,10,Belgium,2/8/2020,,47.0,51.0,42.0
386,10,Belgium,2/9/2020,,49.0,54.0,44.0
407,10,Belgium,3/1/2020,,44.0,48.0,40.0
408,10,Belgium,3/2/2020,0.21,42.0,46.0,
409,12,Bosnia and Herzegovina,1/22/2020,,44.0,53.0,38.0
410,12,Bosnia and Herzegovina,1/23/2020,,48.0,62.0,39.0
411,12,Bosnia and Herzegovina,1/24/2020,,50.0,61.0,41.0
412,12,Bosnia and Herzegovina,1/25/2020,0.0,55.0,60.0,53.0
413,12,Bosnia and Herzegovina,1/26/2020,,52.0,55.0,
414,12,Bosnia and Herzegovina,1/27/2020,0.16,51.0,58.0,47.0
415,12,Bosnia and Herzegovina,1/28/2020,0.75,53.0,,47.0
416,12,Bosnia and Herzegovina,1/29/2020,0.28,53.0,58.0,
417,12,Bosnia and Herzegovina,1/30/2020,0.04,49.0,61.0,
418,12,Bosnia and Herzegovina,1/31/2020,,50.0,56.0,44.0
419,12,Bosnia and Herzegovina,2/1/2020,0.0,53.0,56.0,50.0
428,12,Bosnia and Herzegovina,2/10/2020,,55.0,,48.0
429,12,Bosnia and Herzegovina,2/11/2020,,59.0,67.0,54.0
430,12,Bosnia and Herzegovina,2/12/2020,,55.0,61.0,
431,12,Bosnia and Herzegovina,2/13/2020,,53.0,63.0,
432,12,Bosnia and Herzegovina,2/14/2020,,56.0,61.0,
433,12,Bosnia and Herzegovina,2/15/2020,0.0,55.0,64.0,
434,12,Bosnia and Herzegovina,2/16/2020,0.0,50.0,60.0,44.0
435,12,Bosnia and Herzegovina,2/17/2020,,50.0,60.0,44.0
436,12,Bosnia and Herzegovina,2/18/2020,,53.0,60.0,44.0
437,12,Bosnia and Herzegovina,2/19/2020,,55.0,60.0,
420,12,Bosnia and Herzegovina,2/2/2020,0.0,56.0,63.0,53.0
438,12,Bosnia and Herzegovina,2/20/2020,,51.0,58.0,
439,12,Bosnia and Herzegovina,2/21/2020,,48.0,55.0,41.0
440,12,Bosnia and Herzegovina,2/22/2020,,50.0,62.0,42.0
